iso_code,country,population,,,,,
ISL,Iceland,373491,,,,,
MTQ,Martinique,367422,,,,,
VUT,Vanuatu,328515,,,,,
MYT,Mayotte,328299,,,,,
PYF,French Polynesia,306955,,,,,
NCL,New Caledonia,290626,,,,,
BRB,Barbados,281720,,,,,
WSM,Samoa,223143,,,,,
CUW,Curacao,191332,,,,,
LCA,Saint Lucia,179942,,,,,
GUM,Guam,172112,,,,,
KIR,Kiribati,131824,,,,,
GRD,Grenada,125523,,,,,
FSM,Micronesia,114333,,,,,
SYC,Seychelles,107118,,,,,
TON,Tonga,107112,,,,,
ABW,Aruba,106360,,,,,
VIR,United States Virgin Islands,99296,,,,,
AND,Andorra,79993,,,,,
DMA,Dominica,72822,,,,,
CYM,Cayman Islands,68875,,,,,
BMU,Bermuda,64099,,,,,
GRL,Greenland,56551,,,,,
FRO,Faroe Islands,53090,,,,,
MNP,Northern Mariana Islands,49636,,,,,
ASM,American Samoa,44188,,,,,
MAF,Sint Maarten,44175,,,,,
MHL,Marshall Islands,41654,,,,,
LIE,Liechtenstein,39327,,,,,
MCO,Monaco,36469,,,,,
SMR,San Marino,33660,,,,,
GIB,Gibraltar,32649,,,,,
MAF,Saint Martin,31876,,,,,
PLW,Palau,18055,,,,,
COK,Cook Islands,17096,,,,,
AIA,Anguilla,15857,,,,,
NRU,Nauru,12753,,,,,
TUV,Tuvalu,11397,,,,,
BL,Saint Barthelemy,10967,,,,,
MSR,Montserrat,4390,,,,,
FLK,Falkland Islands,3780,,,,,
NIU,Niue,1934,,,,,
TKL,Tokelau,1871,,,,,
VAT,Vatican City,510,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
